"Year"|"Event Name"|"Order Type"|"Order Type Code"|"Announcement Date"|"Announcement Time"|"Time Zone"|"State"|"County"|"County FIPS"|"Evacuation Area"|"Effective Date"|"Effective Time"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"16:30:00"|"CDT"|"TX"|"Brazoria County"|"48039"|"Low-lying coastal areas inland of the Intracoastal Waterway"|"2017-08-24"|"16:30:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"12:00:00"|"CDT"|"TX"|"Matagorda County"|"48321"|"All areas S of FM 521 in Matagorda County, all areas south of Business 35 W of Palacios. All persons under age of 18 must leave the evacuation area"|"2017-08-25"|"08:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-25"|"02:00:00"|"CDT"|"TX"|"Matagorda County"|"48321"|"Entire County"|""|""
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"12:20:00"|"CDT"|"TX"|"Victoria County"|"48469"|"Entire County"|"2017-08-24"|"12:20:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"17:00:00"|"CDT"|"TX"|"Victoria County"|"48469"|"Entire County"|"2017-08-24"|"17:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"14:50:00"|"CDT"|"TX"|"Galveston County"|"48167"|"Residents on Bolivar Peninsula, includes the unincorporated areas of Port Bolivar, Crystal Beach, High Island and Gilchrist."|"2017-08-25"|"08:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-25"|"06:45:00"|"CDT"|"TX"|"Galveston County"|"48167"|"Include all unincorporated low-lying areas in Galveston County. This includes the communities of San Leon, Bacliff, Freddiesville, Old Bayou Vista and Highland Bayou. Bolivar Peninsula also remains under a voluntary evacuation."|"2017-08-25"|"06:45:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"19:00:00"|"CDT"|"TX"|"Bee County"|"48025"|"All Bee County, including the City of Beeville"|"2017-08-24"|"19:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-23"|"17:30:00"|"CDT"|"TX"|"Cameron County"|"48061"|"City of South Padre Island, RV’s in County Parks"|"2017-08-23"|"17:30:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"12:00:00"|"CDT"|"TX"|"Chambers County"|"48071"|"Smith Point, Cedar Point, All Recreational Vehicle Parks in Chambers County, All unanchored mobile homes, Any Low-lying areas which are known to flood"|"2017-08-24"|"12:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-25"|"19:20:00"|"CDT"|"TX"|"Harris County"|"48201"|"City of Seabrook"|"2017-08-25"|"19:20:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"13:30:00"|"CDT"|"TX"|"Kleberg County"|"48273"|"Residents of Ricardo, Riviera and the Loyola Beach/Baffin Bay area"|"2017-08-24"|"13:30:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"18:30:00"|"CDT"|"TX"|"Kleberg County"|"48273"|"Riviera Beach and Loyala Beach Areas"|"2017-08-24"|"18:30:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-24"|"21:30:00"|"CDT"|"TX"|"Kleberg County"|"48273"|"City of Kingsville"|"2017-08-24"|"21:30:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-26"|"17:00:00"|"CDT"|"TX"|"Fort Bend County"|"48157"|"Residents along the San Bernard River."|"2017-08-26"|"17:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-26"|"17:00:00"|"CDT"|"TX"|"Fort Bend County"|"48157"|"Residents near the Brazos river- if you flooded during the May floods in 2015 and 2016 begin preparations to evacuate."|"2017-08-26"|"17:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-27"|"08:00:00"|"CDT"|"TX"|"Fayette County"|"48149"|"La Grange, Water Street and below toward the river."|"2017-08-27"|"08:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-27"|"01:00:00"|"CDT"|"TX"|"Harris County"|"48201"|"Areas of Inverness Forest Subdivision. All streets north of Whitestone lane, including east and west Greenbrook drive, and all of Kenchester drive."|"2017-08-27"|"01:00:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-28"|"09:30:00"|"CDT"|"TX"|"Fort Bend County"|"48157"|"Sienna Plantation"|"2017-08-28"|"09:30:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-28"|"12:20:00"|"CDT"|"TX"|"Jefferson County"|"48245"|"Bevil Oaks, Northwest Forest subdivisions"|"2017-08-28"|"12:20:00"
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-28"|"15:00:00"|"CDT"|"TX"|"Galveston County"|"48167"|"City of Dickinson"|"2017-08-28"|"15:00:00"
"2017"|"Hurricane Harvey"|"State of emergency"|"0"|"2017-08-24"|""|""|"LA"|"All Parishes"|""|""|""|""
"2017"|"Hurricane Harvey"|"Mandatory evacuation order"|"1"|"2017-08-24"|"19:00:00"|"CDT"|"LA"|"Cameron Parish"|"22023"|"All areas south of the Intracoastal Waterway, including: Hackberry, Johnson Bayou, Holly Beach, Cameron, Creole, Grand Chenier and Big Lake."|"2017-08-25"|"06:00:00"
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-25"|"11:00:00"|"CDT"|"LA"|"Vermilion Parish"|"22113"|"Low-lying, flood-prone areas below LA Highway 14."|""|""
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-25"|"17:20:00"|"CDT"|"LA"|"Iberia Parish"|"22045"|"Areas located South and Southwest of U.S. Highway 90"|""|""
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-28"|"17:50:00"|"CDT"|"LA"|"Iberia Parish"|"22045"|"Entire Parish"|""|""
"2017"|"Hurricane Harvey"|"Voluntary evacuation order"|"2"|"2017-08-29"|"14:00:00"|"CDT"|"LA"|"Acadia Parish"|"22001"|"Western Acadia Parish and parts of southern Acadia Parish.  The area in general are with the potential flooding from the Mermentau River and Bayou Nezpique. This would be the areas between Basile and Evangeline, as well as Mermentau Cove and Premeauxville in the southern part of the parish."|""|""
"2017"|"Hurricane Irma"|"State of emergency"|"0"|"2017-09-04"|"11:00:00"|"EDT"|"FL"|"All counties"|""|""|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-06"|"19:00:00"|"EDT"|"FL"|"Miami-Dade County"|"12086"|"Mobile homes, residents of Zone A & B, and Barrier Islands."|"2017-09-06"|"19:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"14:50:00"|"EDT"|"FL"|"Miami-Dade County"|"12086"|"Zones A, B, and C"|"2017-09-07"|"14:50:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-06"|"12:55:00"|"EDT"|"FL"|"Broward County"|"12011"|"Mobile homes, coastal areas, and low lying areas"|"2017-09-07"|"12:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"16:55:00"|"EDT"|"FL"|"Collier County"|"12021"|"Goodland, Everglades City and Chokoloskee"|"2017-09-08"|"13:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"16:55:00"|"EDT"|"FL"|"Collier County"|"12021"|"Residents of mobile homes throughout Collier County, especially those east of Collier Boulevard (S.R. and C.R. 951), are strongly advised to evacuate to a hardened structure or to an emergency shelter."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"14:00:00"|"EDT"|"FL"|"Collier County"|"12021"|"For all areas west and south of US41"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"09:15:00"|"EDT"|"FL"|"Collier County"|"12021"|"The following areas are now included in the evacuation zones:; Northern boundary Pine Ridge from 41 to Airport -Pulling; Eastern boundary Airport from Pine Ridge to Radio Rd.; Northern boundary Radio from Airport to Santa Barbara; Eastern boundary Santa Barbara from Radio Rd. to Rattlesnake Rd.; (southwest through the preserve between St Andrews Blvd and Roma Way) to Texas; Eastern boundary Texas Ave to 41; The other area:; Western boundary Collier Blvd from 41 north to Winding Cypress Blvd; Northern boundary Winding Cypress Blvd from Collier Blvd to Verona Walk; Western boundary Verona Walk Cir from Winding Cypress Blvd to Sabal Palm; Northern boundary Sabal Palm east from Verona Walk; Northern area:; Northern boundary Encore Way from 41 to Colliers Reserve Dr; Eastern boundary Collier Reserve Dr to Immokalee; Southern boundary Immokalee from Collier Reserve to 41"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-05"|"11:55:00"|"EDT"|"FL"|"Monroe County"|"12087"|"All residents"|"2017-09-06"|"19:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-05"|"11:55:00"|"EDT"|"FL"|"Monroe County"|"12087"|"All visitors, tourists and non-residents"|"2017-09-06"|"07:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-06"|"15:30:00"|"EDT"|"FL"|"Duval County"|"12031"|"Zones A & B"|"2017-09-06"|"15:30:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"10:00:00"|"EDT"|"FL"|"Duval County"|"12031"|"Zones A and B (approximately 264,000 citizens affected; Zone A – 192,000, Zone B – 72,000), mobile homes and low-lying/coastal areas."|"2017-09-08"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"16:30:00"|"EDT"|"FL"|"St. Johns County"|"12109"|"Evacuation Zones A and B, and the entire City of St. Augustine and the Town of Hastings. Residents living in boats, RVs, and mobile homes throughout St. Johns County are also included in the evacuation order."|"2017-09-09"|"06:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"11:15:00"|"EDT"|"FL"|"Flagler County"|"12035"|"Anyone who lives in a mobile home, a recreational vehicle, a trailer, or an unsafe structure – one that is not rated to withstand strong winds."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"14:45:00"|"EDT"|"FL"|"Flagler County"|"12035"|"Residents living in nursing homes, all varieties of assisted living facilities, and community residential group homes within coastal and Intracoastal areas."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"19:20:00"|"EDT"|"FL"|"Flagler County"|"12035"|"Evacuation Zone A includes everything east of the Intracoastal including Marineland, Hammock, Flagler Beach along A1A. Evacuation Zone F is in western Flagler County and includes areas near Dead Lake – St. Johns Park and the Haw Creek Basin – as the St. Johns River, which feeds Dead Lake. Low-lying areas subject to flooding, as well as for those who live in mobile homes, recreational vehicles, and trailers. Individuals with special medical needs, due to the potential loss of power."|"2017-09-09"|"07:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"15:30:00"|"EDT"|"FL"|"Volusia County"|"12127"|"Residents on the beachside, in low-lying areas, and in RVs, mobile or manufactured homes are asked  to evacuate voluntarily. If you are uncomfortable in your home, you also are encouraged to evacuate."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"15:50:00"|"EDT"|"FL"|"Volusia County"|"12127"|"Residents on the beachside, in low-lying areas, and in RVs, mobile and manufactured homes."|"2017-09-08"|"17:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"14:00:00"|"EDT"|"FL"|"Seminole County"|"12117"|"Mobile homes and manufactured homes"|"2017-09-09"|"12:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-09"|"11:50:00"|"EDT"|"FL"|"Seminole County"|"12117"|"Low-lying areas"|"2017-09-09"|"11:50:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"09:20:00"|"EDT"|"FL"|"Brevard County"|"12009"|"Zone A, which includes barrier islands, merritt islands, and low-lying areas along the Indian River Lagoon"|"2017-09-08"|"15:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"09:20:00"|"EDT"|"FL"|"Brevard County"|"12009"|"Mobile homes and manufactured homes, or in any vulnerable areas whether in mainland or the barrier islands"|"2017-09-08"|"15:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"14:15:00"|"EDT"|"FL"|"Indian River County"|"12061"|"Residents who live in areas prone to flooding, substandard housing and manufactured homes, and those who may be impacted by the storm surge such as the barrier islands and areas east of U.S. 1."|"2017-09-07"|"14:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"14:15:00"|"EDT"|"FL"|"Indian River County"|"12061"|"Residents who live in areas prone to flooding, substandard housing and manufactured homes, and those who may be impacted by the storm surge such as the barrier islands and areas east of U.S. 1."|"2017-09-09"|"08:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"15:30:00"|"EDT"|"FL"|"Martin County"|"12085"|"Those who live on barrier islands (Hutchinson Island and Jupiter Island), Sewall’s Point, and for anyone living in manufactured or mobile homes."|"2017-09-07"|"15:30:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"15:30:00"|"EDT"|"FL"|"Martin County"|"12085"|"Those who live on barrier islands (Hutchinson Island and Jupiter Island), Sewall’s Point, and for anyone living in manufactured or mobile homes."|"2017-09-09"|"08:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"18:00:00"|"EDT"|"FL"|"Palm Beach County"|"12099"|"Zones A and B. Zone A includes mobile homes and low-lying areas prone to water intrusion.; Zone B generally includes the barrier islands, lands areas north and south of the Jupiter Inlet, and other surge-vulnerable areas along the Intracoastal Waterway."|"2017-09-08"|"10:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"18:00:00"|"EDT"|"FL"|"Palm Beach County"|"12099"|"Zone C which is only for residents who are unsure of the safety of their structure or if their structure is prone to excessive flooding (i.e., have experienced water inside their homes in previous storms).; Zone C generally includes properties from the Intracoastal waterway west to US Highway 1 in South County and Central County, and areas in close proximity to the Loxahatchee River and the northern tip of the Lake Worth Lagoon."|"2017-09-08"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-06"|"11:30:00"|"EDT"|"FL"|"Broward County"|"12011"|"All residents east of US-1"|"2017-09-07"|"12:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"18:20:00"|"EDT"|"FL"|"Lee County"|"12071"|"City of Sanibel: Island’s accommodations"|"2017-09-07"|"18:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"18:20:00"|"EDT"|"FL"|"Lee County"|"12071"|"City of Sanibel"|"2017-09-07"|"18:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"18:20:00"|"EDT"|"FL"|"Lee County"|"12071"|"City of Sanibel"|"2017-09-08"|"09:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"13:15:00"|"EDT"|"FL"|"Lee County"|"12071"|"City of Fort Myers: Barrier islands and citizens who live in manufactured homes"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"14:25:00"|"EDT"|"FL"|"Lee County"|"12071"|"Evacuation Zone A and portions of the Imperial River basin between East Terry, Bonita Beach Road and Interstate 75.; Evacuation Zone A includes:; · All of the barrier islands (previously announced on Thursday); · Cape Coral west of Burnt Store Road and south of Cape Coral Parkway, east of Del Prado Boulevard to Viscaya Parkway; · North Fort Myers south of Bay Shore Road from Moody Road to State Road 31 and areas south of North River Road from State Road 31 to Fichters Creek.; · Areas of Iona south of Maple Drive, west of U.S. 41; · San Carlos Park west of U.S. 41,; · Estero west of U.S. 41, north of the Estero River; · Bonita Springs communities along Estero Bay and the Imperial River Basin."|"2017-09-08"|"14:25:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"11:20:00"|"EDT"|"FL"|"Lee County"|"12071"|"In addition to the previous order, it includes Evacuation Zone B south of the Caloosahatchee in Fort Myers and Zone B south of Pine Island Road in Cape Coral."|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"14:15:00"|"EDT"|"FL"|"Charlotte County"|"12015"|"Residents residing in Zone A-Red"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"08:00:00"|"EDT"|"FL"|"Charlotte County"|"12015"|"Residents in Zone A-Red and Zone B-Orange areas"|"2017-09-09"|"08:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"20:30:00"|"EDT"|"FL"|"Glades County"|"12043"|"Zone A, low-lying areas, RV parks, mobile homes, Pre-andrew dwellings. For Zone A; anyone north of 27 moore haven city limits, south end loop road to old lakeport rd to Lykes Borthers Gate."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"11:30:00"|"EDT"|"FL"|"Glades County"|"12043"|"Moore Haven, Washington Park, Benbow, and Uncle Joe's"|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"08:20:00"|"EDT"|"FL"|"Sarasota County"|"12115"|"Residents in Zone A, which includes low-lying areas and barrier islands (Longboat, Lido, Siesta, Casey and Manasota keys and the Island of Venice), and in mobile homes."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"12:20:00"|"EDT"|"FL"|"Sarasota County"|"12115"|"Resident in Zone A, barrier island, mobile homes"|"2017-09-08"|"14:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-09"|"11:50:00"|"EDT"|"FL"|"Sarasota County"|"12115"|"Zone B"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"08:40:00"|"EDT"|"FL"|"Hardee County"|"12049"|"Low-lying areas, movile homes, RV parks and flood prone areas"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"07:50:00"|"EDT"|"FL"|"Polk County"|"12105"|"Residents who live in manufactured and mobile homes, or in areas of the county that historically are prone to flooding following heavy rains"|"2017-09-09"|"07:50:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"08:50:00"|"EDT"|"FL"|"Polk County"|"12105"|"Residents who live in manufactured and mobile homes, or in areas of the county that historically are prone to flooding following heavy rains"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"08:00:00"|"EDT"|"FL"|"Hillsborough County"|"12057"|"Zone A"|"2017-09-09"|"08:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"16:25:00"|"EDT"|"FL"|"Pinellas County"|"12103"|"Zone A, mobile homes"|"2017-09-08"|"06:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"08:50:00"|"EDT"|"FL"|"Pinellas County"|"12103"|"Residents & businesses in Zone B. Evacuations for Zone A & mobile homes continue."|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"18:40:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents living west of US 19, residents living north of fox hollow drive, special needs residents, residents in mobile homes and manufactured homes, residents in low-lying areas"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"10:40:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents living west of US 19, residents living north of fox hollow drive, special needs residents, residents in mobile homes and manufactured homes, residents in low-lying areas"|"2017-09-08"|"10:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"10:40:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents living south of Fox Hollow Drive to the south county line between Regency Park Blvd./Rowan Rd./Seven Springs Blvd. and Little Rd."|"2017-09-08"|"18:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"14:25:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents living west of Little Road, residents living to the north and west of the following roadway boundary lines: north of 52 and west of Hicks Road; north of Kitten Trail to the intersection of Dennis Rd; west of Dennis Rd, following a northerly line to include properties west of Gopher Hills and west of Thomas Boulevard north to County Line Road"|"2017-09-09"|"13:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-09"|"14:25:00"|"EDT"|"FL"|"Pasco County"|"12101"|"All evacuation zones"|"2017-09-09"|"13:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-11"|"17:00:00"|"EDT"|"FL"|"Pasco County"|"12101"|"Residents of Pasco living in the Elfers area surrounding the Anclote River labeled “Evacuation Area” on Map Exhibit 4A."|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-09"|"14:15:00"|"EDT"|"FL"|"Jefferson County"|"12065"|"All mobile homes and low lying areas"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"19:10:00"|"EDT"|"FL"|"Baker County"|"12003"|"All residents on Steel Bridge Road, east of the collection site; All residents on Webb Haven Road; Persimmon and Ash Road in the Turkey Creek II neighborhood; Myrtle, Camphor, Chestnut, and Gum Roads; All residents on the west side of Aspen Road; All residents on Lil Dixie Trail; All residents on River Oak Circle; All residents on River Oak Drive; All residents on Confederate Drive East; All residents of Cedar Creek Farms Road"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-07"|"12:00:00"|"EDT"|"FL"|"Nassau County"|"12089"|"Zones A, C and F includes Amelia Island"|"2017-09-08"|"18:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"15:30:00"|"EDT"|"FL"|"Clay County"|"12019"|"Zones A, B, C, low-lying areas, modular and mobile homes."|"2017-09-09"|"06:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"15:25:00"|"EDT"|"FL"|"Sumter County"|"12119"|"Those in flood prone low-lying areas and manufactured homes."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-10"|"10:00:00"|"EDT"|"FL"|"Orange County"|"12095"|"Residents in mobile homes"|"2017-09-10"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"13:00:00"|"EDT"|"FL"|"Manatee County"|"12081"|"Those living in low-lying areas and in mobile or manufactured homes"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"12:00:00"|"EDT"|"FL"|"St. Lucie County"|"12111"|"Barrier islands, that includes North and South Hutchinson, low lying areas along the Indian River Lagoon, manufactured homes."|"2017-09-08"|"15:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"11:55:00"|"EDT"|"FL"|"DeSoto County"|"12027"|"Mobile home parks, Recreational Vehicle parks, Low lying areas prone to flooding"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"10:00:00"|"EDT"|"FL"|"Hernando County"|"12053"|"All areas west of US 19, mobile homes countywide"|"2017-09-08"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"10:30:00"|"EDT"|"FL"|"Citrus County"|"12017"|"The evacuation applies to the following residents:; - Residents living west of U.S. Highway 19; - Residents living one and a half miles east of U.S. 19 (this does not include Sugarmill Woods); - City of Crystal River residents; - Residents living in low-lying areas throughout all of Citrus County; - Residents living in mobile homes, manufactured homes, and all unsafe structures throughout the county"|"2017-09-08"|"10:30:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"14:00:00"|"EDT"|"FL"|"Marion County"|"12083"|"Mobile homes and modular type homes"|"2017-09-09"|"20:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"15:20:00"|"EDT"|"FL"|"Levy County"|"12075"|"All residents"|"2017-09-08"|"16:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"14:10:00"|"EDT"|"FL"|"Dixie County"|"12029"|"All residents living in low-lying areas, substandard housing, mobile homes, RVs, and the coastal communities of Dixie County."|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"19:00:00"|"EDT"|"FL"|"Dixie County"|"12029"|"All residents"|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"13:50:00"|"EDT"|"FL"|"Gilchrist County"|"12041"|"All residents"|"2017-09-09"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"11:00:00"|"EDT"|"FL"|"Gilchrist County"|"12041"|"All residents"|"2017-09-09"|"11:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"10:00:00"|"EDT"|"FL"|"Lafayette County"|"12067"|"All residents"|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-09"|"12:00:00"|"EDT"|"FL"|"Suwannee County"|"12121"|"Low lying areas and older mobile homes"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"20:50:00"|"EDT"|"FL"|"Suwannee County"|"12121"|"Low lying areas, mobile homes, substandard housing"|""|""
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-07"|"21:50:00"|"EDT"|"FL"|"Taylor County"|"12123"|"Low Lying, Coastal, RV and Mobile Homes"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"18:50:00"|"EDT"|"FL"|"Taylor County"|"12123"|"RVs, mobile homes, coastal areas, and low-lying areas"|""|""
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"10:30:00"|"EDT"|"FL"|"Wakulla County"|"12129"|"Residents south of U.S. Highway 98 (Coastal Highway) and South U.S. 319 (Sopchoppy Highway) Zone A (Red)...the evacuation order is for all residents living in manufactured homes and low lying areas within Wakulla County to include Surf Road."|"2017-09-09"|"10:30:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-08"|"19:00:00"|"EDT"|"FL"|"Franklin County"|"12037"|"All of Dog Island, Alligator Point and Bald Point"|"2017-09-09"|"10:00:00"
"2017"|"Hurricane Irma"|"Voluntary evacuation order"|"2"|"2017-09-08"|"20:50:00"|"EDT"|"FL"|"Franklin County"|"12037"|"St George Island/ low lying/ and mobile homes"|"2017-09-09"|"10:00:00"
"2017"|"Hurricane Irma"|"Mandatory evacuation order"|"1"|"2017-09-09"|"12:00:00"|"EDT"|"FL"|"Franklin County"|"12037"|"All low-lying areas, mobile homes and Barrier Islands"|"2017-09-09"|"12:00:00"
